series_name,episode_title,consistency_score,consistency_category,season_rank,recent_episodes,max_series_rating
Breaking Bad,Seven Thirty-Seven,0.00,Consistent,1,None,8.7
Breaking Bad,No Más,1.00,Consistent,1,None,8.7
Breaking Bad,Pilot,1.00,Consistent,1,None,8.7
Friends,The One Where Monica Gets a Roommate,0.33,Consistent,1,None,8.4
Friends,The One with Ross's New Girlfriend,1.33,Consistent,1,None,8.4
Friends,The One with the Sonogram,1.67,Consistent,2,None,8.4
Game of Thrones,The North Remembers,0.00,Consistent,1,None,9.0
Game of Thrones,Winter Is Coming,1.00,Consistent,1,None,9.0
Game of Thrones,The Kingsroad,1.00,Consistent,2,None,9.0
Lost,"Man of Science, Man of Faith",0.00,Consistent,1,None,8.9
Lost,Pilot,2.00,Consistent,1,None,8.9
Lost,Tabula Rasa,2.00,Consistent,2,None,8.9
Spartacus,The Red Woman,0.33,Consistent,1,None,8.3
Spartacus,Fugitivus,1.33,Consistent,1,None,8.3
Spartacus,Whispers,1.67,Consistent,2,None,8.3
Stranger Things,Chapter One: The Vanishing,0.00,Consistent,1,"Chapter Nine: The Gate, Chapter One: The Vanishing, Chapter Two: The Weirdo",8.8
Stranger Things,Chapter Two: The Weirdo,3.00,Consistent,2,"Chapter Nine: The Gate, Chapter One: The Vanishing, Chapter Two: The Weirdo",8.8
Stranger Things,Chapter Nine: The Gate,3.00,Consistent,1,"Chapter Nine: The Gate, Chapter One: The Vanishing, Chapter Two: The Weirdo",8.8
The Boys,The Name of the Game,0.33,Consistent,1,"Cherry, The Name of the Game, The Self-Preservation Society",8.7
The Boys,The Self-Preservation Society,1.33,Consistent,1,"Cherry, The Name of the Game, The Self-Preservation Society",8.7
The Boys,Cherry,1.67,Consistent,2,"Cherry, The Name of the Game, The Self-Preservation Society",8.7
